binomial,clade,weller2023_littersize,ernest2003_littersize,ernest2003_percentdiff,pantheria_littersize,pantheria_percentdiff,combine_littersize,combine_percentdiff
Blarina brevicauda,Shrews,4.69,5.73,-22.17484009,5.39,-14.92537313,5.73,-22.17484009
Callospermophilus lateralis,Squirrels,5.36,5.12,4.47761194,5.18,3.358208955,5.12,4.47761194
Castor canadensis ,Kangaroo Rats and Beavers,3.69,3.56,3.52303523,3.6,2.43902439,3.58,2.98102981
Dicrostonyx groenlandicus ,Voles and Lemmings ,4.96,3.27,34.07258065,6.39,-28.83064516,3.4,31.4516129
Dipodomys merriami,Kangaroo Rats and Beavers,2.58,2.3,10.85271318,2.39,7.364341085,2.3,10.85271318
Dipodomys ordii,Kangaroo Rats and Beavers,3.07,3.3,-7.491856678,2.95,3.908794788,3.15,-2.605863192
Lemmus trimucronatus,Voles and Lemmings ,5.39,NA,NA,6.86,-27.27272727,6.39,-18.5528757
Lepus americanus,Rabbits and Pikas ,4,3.28,18,3.54,11.5,3.41,14.75
Microtus californicus,Voles and Lemmings ,4.2,4.54,-8.095238095,4.41,-5,4.62,-10
Microtus longicaudus,Voles and Lemmings ,4.74,5.22,-10.12658228,4.73,0.210970464,4.975,-4.957805907
Microtus miurus,Voles and Lemmings ,6.65,5.96,10.37593985,3.89,41.5037594,5.96,10.37593985
Microtus montanus,Voles and Lemmings ,5.72,4.82,15.73426573,5.54,3.146853147,5.18,9.440559441
Microtus ochrogaster,Voles and Lemmings ,3.11,3.8,-22.18649518,3.87,-24.43729904,3.8,-22.18649518
Microtus oeconomus,Voles and Lemmings ,6.11,5.76,5.728314239,5.62,8.019639935,5.76,5.728314239
Microtus pennsylvanicus,Voles and Lemmings ,5.29,4.95,6.427221172,5.16,2.457466919,5.06,4.347826087
Mus musculus,Old World Mice,5.66,6.07,-7.243816254,5.54,2.120141343,6.07,-7.243816254
Myodes gapperi ,Voles and Lemmings ,5.18,5.04,2.702702703,5.37,-3.667953668,5.205,-0.482625483
Myodes rutilus,Voles and Lemmings ,6.23,7,-12.35955056,5.6,10.11235955,6.3,-1.123595506
Napaeozapus insignis ,Jumping Mice,4.38,4.42,-0.913242009,4.5,-2.739726027,4.46,-1.826484018
Neotoma albigula,New World Mice and Rats,2.12,2.15,-1.41509434,2.14,-0.943396226,2.14,-0.943396226
Ochotona princeps,Rabbits and Pikas ,2.79,2.9,-3.94265233,2.88,-3.225806452,3,-7.52688172
Onychomys leucogaster,New World Mice and Rats,3.82,3.63,4.97382199,3.84,-0.523560209,3.84,-0.523560209
Peromyscus boylii,New World Mice and Rats,3.48,3.19,8.333333333,3.18,8.620689655,3.185,8.477011494
Peromyscus crinitus ,New World Mice and Rats,3.79,3.08,18.73350923,3.08,18.73350923,3.08,18.73350923
Peromyscus eremicus,New World Mice and Rats,3.11,2.63,15.4340836,2.52,18.97106109,2.6,16.39871383
Peromyscus keeni,New World Mice and Rats,4.46,NA,NA,5.99,-34.30493274,4.73,-6.053811659
Peromyscus leucopus ,New World Mice and Rats,4.36,4.42,-1.376146789,4.27,2.064220183,4.345,0.344036697
Peromyscus maniculatus ,New World Mice and Rats,4.84,4.73,2.272727273,4.76,1.652892562,4.82,0.41322314
Peromyscus truei,New World Mice and Rats,3.66,3.5,4.371584699,3.49,4.644808743,3.49,4.644808743
Reithrodontomys fulvescnes,New World Mice and Rats,4.15,3.1,25.30120482,3.76,9.397590361,3.1,25.30120482
Reithrodontomys megalotis,New World Mice and Rats,4.07,3.32,18.42751843,4.18,-2.702702703,3.75,7.862407862
Sigmodon hispidus,New World Mice and Rats,6.01,5.58,7.154742097,5.44,9.484193012,5.44,9.484193012
Sorex cinereus ,Shrews,6.09,6.22,-2.134646962,6.49,-6.568144499,6.5,-6.732348112
Sorex monticolus,Shrews,5.48,5.68,-3.649635036,5.74,-4.744525547,5.71,-4.197080292
Synaptomys borealis,Voles and Lemmings ,3.98,4.4,-10.55276382,4.27,-7.286432161,4.335,-8.91959799
Synaptomys cooperi,Voles and Lemmings ,3.48,3.34,4.022988506,3.09,11.20689655,3.215,7.614942529
Tamiasciurus hudsonicus ,Squirrels,4.06,4.2,-3.448275862,3.93,3.201970443,4.2,-3.448275862
Zapus hudsonius ,Jumping Mice,5.05,5.17,-2.376237624,5.36,-6.138613861,5.36,-6.138613861
Zapus princeps,Jumping Mice,5.59,4.89,12.52236136,5.04,9.838998211,5.04,9.838998211